87,88,-1,-1,-1,-1,-1,106,-1,106,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,106,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,86,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
81,82,-1,-1,-1,-1,-1,107,-1,87,87,88,-1,-1,-1,-1,-1,-1,87,87,87,88,-1,-1,-1,-1,-1,-1,87,87,87,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,80,81,81,81,81,81,81,81,81,81,81
87,87,87,87,87,87,88,107,-1,80,81,82,-1,-1,-1,-1,-1,-1,80,81,81,82,-1,-1,-1,-1,-1,-1,80,81,81,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,86,87,87,87,87,87,87,87,87,87,87
81,81,81,81,81,81,82,107,-1,87,87,88,-1,-1,-1,-1,-1,-1,35,-1,-1,35,-1,-1,-1,-1,-1,-1,35,-1,-1,35,-1,-1,106,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,80,81,81,81,81,81,81,81,81,81,81
87,87,87,87,87,87,88,107,-1,107,-1,107,-1,-1,-1,-1,-1,-1,36,-1,-1,36,-1,-1,-1,-1,-1,-1,36,-1,-1,36,-1,-1,86,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,87,87,87,87,88,-1,-1,-1,-1,121,-1,-1,-1,-1,-1,-1,-1,106,-1,-1,-1,86,87,87,87,87,87,87,87,87,87,87
81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,82,-1,-1,80,81,81,81,81,81,81,81,81,81,81,81,81,82,-1,-1,80,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,80,81,82,-1,107,-1,-1,-1,-1,122,107,-1,-1,-1,-1,106,-1,-1,-1,-1,-1,80,81,81,81,81,81,81,81,81,81,81
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,88,-1,-1,86,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,106,107,-1,107,-1,107,-1,-1,-1,-1,107,107,-1,-1,-1,-1,107,107,-1,-1,-1,-1,86,87,87,87,87,87,87,87,87,87,87
81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,82,-1,-1,80,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,80,81,81,81,82,107,-1,-1,-1,-1,86,88,-1,-1,-1,-1,86,88,-1,-1,-1,-1,80,81,81,81,81,81,81,81,81,81,81
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,88,-1,-1,86,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,86,87,87,87,88,107,-1,-1,-1,-1,107,107,-1,-1,-1,-1,107,107,-1,-1,-1,-1,86,87,87,87,87,87,87,87,87,87,87
81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,80,81,82,107,-1,-1,-1,-1,107,107,-1,-1,-1,-1,107,107,-1,-1,-1,-1,80,81,81,81,81,81,81,81,81,81,81
