81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,82,105,105,105,105,-1,-1,80
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,107,-1,-1,86
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,81,81,82,107,-1,106,105,105,105,107,105,107,105,105,105,105,105,105,80
-1,106,105,105,105,105,105,105,116,105,105,-1,-1,-1,-1,-1,107,-1,106,105,107,105,105,105,105,105,105,107,116,-1,-1,-1,-1,-1,106,105,105,105,105,105,105,105,-1,-1,-1,106,105,105,105,105,105,105,105,105,105,105,105,105,-1,-1,106,105,105,-1,-1,106,-1,-1,106,-1,-1,106,105,105,107,105,-1,-1,-1,86,87,87,87,87,87,87,87,87,87,87
105,107,-1,80,81,81,81,81,82,-1,107,-1,-1,-1,-1,-1,107,-1,-1,-1,80,81,81,81,81,81,81,81,82,-1,-1,-1,-1,-1,80,81,81,81,81,81,81,82,-1,-1,-1,80,81,81,81,81,81,81,81,81,81,81,82,107,-1,-1,80,81,82,-1,-1,122,-1,-1,122,-1,-1,80,81,81,81,82,-1,-1,-1,80,81,81,81,81,81,81,81,81,81,81
-1,107,105,86,87,87,87,87,88,-1,86,87,87,87,87,88,107,-1,-1,-1,86,88,107,-1,-1,-1,86,87,88,-1,-1,-1,-1,-1,86,87,87,87,87,87,87,88,-1,-1,-1,86,87,87,87,87,88,107,-1,-1,86,87,88,107,-1,-1,86,87,88,-1,-1,121,-1,-1,121,-1,-1,86,87,87,87,88,-1,-1,-1,86,87,87,87,87,87,87,87,87,87,87
105,107,105,105,105,105,107,105,122,-1,80,81,81,81,81,81,82,-1,-1,-1,122,-1,107,105,105,105,107,105,105,107,-1,-1,-1,-1,80,81,81,81,81,81,81,82,-1,-1,-1,80,81,81,81,81,82,107,-1,-1,107,105,105,107,-1,-1,80,81,82,-1,-1,122,-1,-1,122,-1,-1,80,81,81,81,82,-1,-1,-1,80,81,81,81,81,81,81,81,81,81,81
87,88,-1,-1,-1,-1,86,87,88,-1,107,-1,106,105,105,105,107,105,105,105,107,105,107,-1,-1,-1,86,87,88,107,-1,-1,-1,-1,86,87,87,87,87,87,87,88,-1,-1,-1,86,87,87,87,87,88,107,-1,-1,86,87,88,107,-1,-1,86,87,88,-1,-1,121,-1,-1,121,-1,-1,86,88,-1,-1,121,-1,-1,-1,86,87,87,87,87,87,87,87,87,87,87
81,82,105,105,105,105,107,105,107,105,122,-1,80,81,81,81,81,81,81,81,82,-1,107,105,105,105,80,81,81,82,105,105,105,105,107,105,105,105,107,107,105,107,105,105,105,107,105,105,105,107,107,107,105,105,80,81,81,82,105,105,107,105,107,105,105,107,105,105,107,105,105,107,107,105,105,122,105,105,105,80,81,81,81,81,81,81,81,81,81,81
87,87,87,87,87,87,87,87,87,87,88,-1,86,87,87,87,87,87,87,87,88,-1,107,105,86,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
81,81,81,81,81,81,81,81,81,81,81,-1,80,81,81,81,81,81,81,81,82,-1,80,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81
87,87,87,87,87,87,87,87,87,87,88,-1,86,87,87,87,87,87,87,87,88,-1,86,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
81,81,81,81,81,81,81,81,81,81,81,-1,80,81,81,81,81,81,81,81,82,-1,80,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81
87,87,87,87,87,87,87,87,87,87,88,-1,86,87,87,87,87,87,87,87,88,-1,86,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
81,81,81,81,81,81,81,81,81,81,81,-1,80,81,81,81,81,81,81,81,82,-1,80,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81
