77,77,77,94,75,75,75,76,77,77
77,77,77,98,75,75,75,76,77,77
-1,-1,-1,83,77,77,99,-1,-1,-1
77,77,77,94,75,75,75,-1,-1,-1
77,77,77,98,75,75,75,76,77,77
-1,-1,-1,83,77,77,99,-1,-1,-1
-1,-1,-1,119,75,75,75,76,77,77
77,77,77,98,75,75,75,76,77,77
-1,-1,-1,83,77,77,99,-1,-1,-1
77,77,77,94,75,75,76,77,77,77
77,77,77,98,75,75,76,77,77,77
-1,-1,-1,83,77,99,-1,-1,-1,-1
77,77,77,94,75,75,75,-1,-1,-1
77,77,77,98,75,75,76,77,77,77
-1,-1,-1,83,77,99,-1,-1,-1,-1
-1,-1,-1,119,75,75,76,77,77,77
77,77,77,98,75,75,76,77,77,77
-1,-1,-1,83,77,99,-1,-1,-1,75
77,94,75,76,98,92,76,89,90,115
112,90,99,-1,97,92,-1,-1,-1,-1
-1,-1,-1,-1,83,98,-1,-1,-1,-1
